"numero_ocorrencia","ano","mes","dia","rpm_2024","ueop_2024","cia_pm","pelotao","nome_municipio","nome_bairro","natureza_ocorrencia_descricao_longa","numero_envolvido","envolvimento_descricao","furto","roubo","extorsao","data_fato"
"2024-047609596-001",2024,10,19,"15 RPM","19 BPM","47 CIA PM",PC,TEOFILO OTONI,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-19"
"2024-047492365-001",2024,10,19,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-19"
"2024-047492365-001",2024,10,19,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,1.0,SOLICITANTE,0,0,0,"2024-10-19"
"2024-047492114-001",2024,10,22,"15 RPM","19 BPM","232 CIA PM",PC,NOVO CRUZEIRO,CRISTO REI,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-22"
"2024-047481415-001",2024,10,13,"15 RPM","19 BPM","232 CIA PM",PC,NOVO CRUZEIRO,,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-13"
"2024-047468379-001",2024,10,22,"15 RPM","19 BPM","232 CIA PM",PM,MALACACHETA,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-22"
"2024-047402548-001",2024,10,14,"15 RPM","19 BPM","232 CIA PM",PM,ITAIPE,SAO PEDRO,FURTO,1.0,SOLICITANTE,1,0,0,"2024-10-14"
"2024-047300060-001",2024,10,20,"15 RPM","19 BPM","42 CIA PM",PC,TEOFILO OTONI,INDAIA,FURTO,1.0,SOLICITANTE,1,0,0,"2024-10-20"
"2024-047160501-001",2024,10,19,"15 RPM","19 BPM","232 CIA PM",PM,POTE,,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-19"
"2024-047087012-001",2024,10,19,"15 RPM","19 BPM","232 CIA PM",PM,ITAIPE,,ROUBO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,0,1,0,"2024-10-19"
"2024-047048279-001",2024,10,19,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,JARDIM IRACEMA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-19"
"2024-047001717-001",2024,10,15,"15 RPM","19 BPM","42 CIA PM",PC,TEOFILO OTONI,NOVO HORIZONTE,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-15"
"2024-046977948-001",2024,10,18,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-18"
"2024-046915150-001",2024,10,18,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-18"
"2024-046914497-001",2024,10,18,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,BELA VISTA,FURTO,3.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-18"
"2024-046899694-001",2024,10,18,"15 RPM","19 BPM","232 CIA PM",PM,NOVO CRUZEIRO,CENTRO,FURTO,1.0,SOLICITANTE,1,0,0,"2024-10-18"
"2024-046888772-001",2024,10,18,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-18"
"2024-046871734-001",2024,10,18,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,MARAJOARA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-18"
"2024-046797595-001",2024,10,16,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,SAO FRANCISCO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-16"
"2024-046780453-001",2024,10,17,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,FATIMA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-17"
"2024-046744240-001",2024,10,16,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-16"
"2024-046644165-001",2024,10,16,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,1.0,SOLICITANTE,0,0,0,"2024-10-16"
